adult,also_known_as,biography,birthday,deathday,gender,homepage,id,imdb_id,known_for_department,name,place_of_birth,popularity,profile_path
False,"['Thomas Jeffrey Hanks', 'Том Хэнкс', 'توم هانكس', 'トム・ハンクス', '톰 행크스', 'ทอม แฮงส์', '汤姆·汉克斯', 'Том Генкс', 'Том Хенкс', 'Томас Джеффрі Генкс', 'Τομ Χανκς', 'टॉम हैंक्स', 'ടോം ഹാങ്ക്സ്', '湯姆‧漢克斯', '湯姆·漢克']","Thomas Jeffrey Hanks (born July 9, 1956) is an American actor and filmmaker. Known for both his comedic and dramatic roles, Hanks is one of the most popular and recognizable film stars worldwide, and is widely regarded as an American cultural icon.

Hanks made his breakthrough with leading roles in the comedies Splash (1984) and Big (1988). He won two consecutive Academy Awards for Best Actor for starring as a gay lawyer suffering from AIDS in Philadelphia (1993) and a young man with below-average IQ in Forrest Gump (1994). Hanks collaborated with film director Steven Spielberg on five films: Saving Private Ryan (1998), Catch Me If You Can (2002), The Terminal (2004), Bridge of Spies (2015), and The Post (2017), as well as the 2001 miniseries Band of Brothers, which launched him as a director, producer, and screenwriter.

Hanks' other notable films include the romantic comedies Sleepless in Seattle (1993) and You've Got Mail (1998); the dramas Apollo 13 (1995), The Green Mile (1999), Cast Away (2000), Road to Perdition (2002), and Cloud Atlas (2012); and the biographical dramas Saving Mr. Banks (2013), Captain Phillips (2013), Sully (2016), and A Beautiful Day in the Neighborhood (2019). He has also appeared as the title character in the Robert Langdon film series, and has voiced Sheriff Woody in the Toy Story film series.

Description above from the Wikipedia article Tom Hanks, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1956-07-09,,2,,31,nm0000158,Acting,Tom Hanks,"Concord, California, USA",91.118,/xndWFsBlClOJFRdhSt4NBwiPq2o.jpg
False,"['Robin Wright-Penn', '로빈 라이트', 'Robin Virginia Gayle Wright', 'Robin Gayle Wright', 'Robin Wright Penn', 'Робин Райт', '罗宾·怀特', 'Робин Райт-Пенн']","Robin Gayle Wright (born April 8, 1966) is an American actress. She is best known for her roles as Jenny Curran in Forrest Gump, as Buttercup in The Princess Bride, and as Mary Surratt in The Conspirator. She has also been credited as Robin Wright Penn.",1966-04-08,,1,,32,nm0000705,Acting,Robin Wright,"Dallas, Texas, USA",38.553,/vNkLjVGi5nX15gNLZdJhApji5ep.jpg
False,['Gary A. Sinise'],"Gary Alan Sinise (born March 17, 1955) is an American actor, film director, humanitarian, and musician. Among other awards, he has won a Primetime Emmy Award, a Golden Globe Award, a Tony Award, and four Screen Actors Guild Awards. He has also received a star on the Hollywood Walk of Fame, and was nominated for an Academy Award.

He has also received numerous awards and honors for his extensive humanitarian work and involvement with charitable organizations. He is a supporter of various veterans' organizations and founded the Lt. Dan Band (named after his character in Forrest Gump), which plays at military bases around the world.

His acting career started on stage with the Steppenwolf Theatre Company in 1983 when he directed and starred in a production of Sam Shepard's True West for which he earned a Obie Award. He would later earn four Tony Award nominations including for his performances in The Grapes of Wrath and One Flew Over the Cuckoo's Nest. He earned the Tony Award's Regional Theatre Award alongside the Steppenwolf Theatre Company.

He first starred in the film adaptation of John Steinbeck's classic novel Of Mice and Men which he also directed and produced. Sinise played George Milton alongside John Malkovich who played Lennie.

One of his most well-known roles is as Lieutenant Dan Taylor in Forrest Gump (1994) for which he was nominated for the Academy Award for Best Supporting Actor. He also appeared in other feature films including Ron Howard's Apollo 13 (1995), Ransom (1996), Frank Darabont's The Green Mile (1999) and Impostor (2002).

His television performances include Harry S. Truman in Truman  (1995), for which he won a Golden Globe, and the title role in the television film George Wallace, for which he received a Primetime Emmy Award.

He had a leading role as Detective Mac Taylor in the CBS drama series CSI: NY (2004–13). From 2016 to 2017, he starred as Special Agent Jack Garrett in Criminal Minds: Beyond Borders. In 2017, he had a role on the Netflix series 13 Reasons Why.

He has also been a narrator on multiple docuseries and documentaries.",1955-03-17,,2,https://www.garysinise.com/,33,nm0000641,Acting,Gary Sinise,"Blue Island, Illinois, USA",19.637,/ngYV91xYfCu0JNcSxJ4yQ7tzOna.jpg
False,"['Michael T. Williamson', 'Mykel T. Williamson', 'Mikel T. Williamson']","Michael T. 'Mykelti' Williamson (born March 4, 1957) is an American actor best known for his role as Benjamin Buford 'Bubba' Blue in the 1994 film Forrest Gump, as Detective Bobby 'Fearless' Smith in the critically acclaimed but commercially unsuccessful crime drama Boomtown, and recently for appearing as the head of CTU for season 8 of the hit TV series 24.",1957-03-04,,2,,34,nm0932112,Acting,Mykelti Williamson,"St. Louis, Missouri, USA",10.827,/8TnU8lT8uJp97vKi5AluaQFuTZI.jpg
False,[],"Sally Margaret Field (born November 6, 1946) is an American actress. She has received many awards and nominations, including two Academy Awards, three Primetime Emmy Awards, two Golden Globe Awards, a Screen Actors Guild Award, a Cannes Film Festival Award for Best Actress, and nominations for a Tony Award and for two British Academy Film Awards.

Field began her career on television, starring in the comedies Gidget (1965–1966), The Flying Nun (1967–1970), and The Girl with Something Extra (1973–1974). In 1967, she was also in the western The Way West. In 1976, she attracted critical acclaim for her performance in the television film Sybil, for which she received the Primetime Emmy Award for Outstanding Lead Actress in a Limited Series or Movie. Her film debut was as an extra in Moon Pilot (1962). Her film career escalated during the 1970s with starring roles in films including Stay Hungry (1976), Smokey and the Bandit (1977), Heroes (1977), The End (1978), and Hooper (1978). During the 1980s she won the Academy Award for Best Actress twice for Norma Rae (1979) and Places in the Heart (1984), and she appeared in Smokey and the Bandit II (1980), Absence of Malice (1981), Kiss Me Goodbye (1982), Murphy's Romance (1985), Steel Magnolias (1989), Soapdish (1991), Mrs. Doubtfire (1993), and Forrest Gump (1994).

In the 2000s, Field returned to television with a recurring role on the NBC medical drama ER, for which she won the Primetime Emmy Award for Outstanding Guest Actress in a Drama Series in 2001 and the following year made her stage debut with Edward Albee's The Goat, or Who Is Sylvia?. For her portrayal of Nora Walker in the ABC television family drama series Brothers & Sisters (2006-2011), Field won the Primetime Emmy Award for Outstanding Lead Actress in a Drama Series. She starred as Mary Todd Lincoln in Lincoln (2012), for which she was nominated for the Academy Award for Best Supporting Actress, and she portrayed Aunt May in The Amazing Spider-Man (2012) and its 2014 sequel, with the first being her highest-grossing release. In 2015, she portrayed the title character in Hello, My Name Is Doris, for which she was nominated for the Critics' Choice Movie Award for Best Actress in a Comedy. In 2017, she returned to the stage after an absence of 15 years with the revival of Tennessee Williams's The Glass Menagerie, for which was nominated for the Tony Award for Best Actress in a Play. In 2014, she was presented with a star on the Hollywood Walk of Fame and in 2019, she received the Kennedy Center Honor.",1946-11-06,,1,,35,nm0000398,Acting,Sally Field,"Pasadena, California, USA",29.292,/buli7Q7dq6DEUuTB9IvzPVwyyLe.jpg
False,"['Джонни Депп', ""ג'וני דפ"", 'จอห์นนี เดปป์', 'جوني ديب', 'Τζoν Κρίστοφερ Ντεπ ΙΙ', 'جانی دپ', '조니 뎁']","John Christopher Depp II (born June 9, 1963) is an American actor, producer, and musician. He is the recipient of various accolades, including a Golden Globe Award and a Screen Actors Guild Award, in addition to nominations for three Academy Awards and two British Academy Film Awards.

Depp made his debut in the horror film A Nightmare on Elm Street (1984), before rising to prominence as a teen idol on the television series 21 Jump Street (1987–1990). In the 1990s, Depp acted mostly in independent films, often playing eccentric characters. These included What's Eating Gilbert Grape (1993), Benny and Joon (1993), Dead Man (1995), Donnie Brasco (1997) and Fear and Loathing in Las Vegas (1998). Depp also began collaborating with director Tim Burton, starring in Edward Scissorhands (1990), Ed Wood (1994) and Sleepy Hollow (1999).

In the 2000s, Depp became one of the most commercially successful film stars by playing Captain Jack Sparrow in the swashbuckler film series Pirates of the Caribbean (2003–present). He received critical praise for Finding Neverland (2004), and continued his commercially successful collaboration with Tim Burton with the films Charlie and the Chocolate Factory (2005), Corpse Bride (2005), Sweeney Todd: The Demon Barber of Fleet Street (2007), and Alice in Wonderland (2010). In 2012, Depp was one of the world's biggest film stars, and was listed by the Guinness World Records as the world's highest-paid actor, with earnings of US$75 million. During the 2010s, Depp began producing films through his company, Infinitum Nihil, and formed the rock supergroup Hollywood Vampires with Alice Cooper and Joe Perry.",1963-06-09,,2,,85,nm0000136,Acting,Johnny Depp,"Owensboro, Kentucky, USA ",36.571,/dHvp2FafEE5OGFy9kcX2l8oMIsH.jpg
False,"['مارك رافالو', '마크 러펄로', 'マーク・ラファロ', 'Марк Руффало', '马克·鲁法洛', 'Μαρκ Ράφαλο', '馬克·盧法洛', 'Марк Раффало']","Mark Alan Ruffalo (born November 22, 1967) is an American actor and producer. He began acting in the early 1990s and first gained recognition for his work in Kenneth Lonergan's play This Is Our Youth (1998) and drama film You Can Count on Me (2000). He went on to star in the romantic comedies 13 Going on 30 (2004) and Just like Heaven (2005) and the thrillers In the Cut (2003), Zodiac (2007) and Shutter Island (2010). He received a Tony Award nomination for his supporting role in the Broadway revival of Awake and Sing! in 2006. Ruffalo gained international recognition for playing Bruce Banner / Hulk in superhero films set in the Marvel Cinematic Universe, including The Avengers (2012), Avengers: Infinity War (2018), and Avengers: Endgame (2019).

Ruffalo gained nominations for the Academy Award for Best Supporting Actor for playing a sperm-donor in the comedy-drama The Kids Are All Right (2010), Dave Schultz in the biopic Foxcatcher (2014), and Michael Rezendes in the drama Spotlight (2015). He won the Screen Actors Guild Award for Best Actor in a TV Movie for playing a gay writer and activist in the television drama film The Normal Heart (2015), and the Primetime Emmy Award for Outstanding Lead Actor in a Limited Series or Movie for his dual role as identical twins in the miniseries I Know This Much Is True (2020). Ruffalo is one of the few performers to receive all four EGOT nominations.",1967-11-22,,2,,103,nm0749263,Acting,Mark Ruffalo,"Kenosha, Wisconsin, USA",38.0,/z3dvKqMNDQWk3QLxzumloQVR0pv.jpg
False,"['Элайджа Вуд', 'Элайджа Джордан Вуд', '일라이저 우드', '伊利亚·伍德', '伊莱贾·伍德', '伊莱贾·乔丹·伍德']","Elijah Jordan Wood (born January 28, 1981) is an American actor and producer. He is best known for his portrayal of Frodo Baggins in the Lord of the Rings film trilogy (2001–2003) and The Hobbit: An Unexpected Journey (2012).

Wood made his film debut with a small part in Back to the Future Part II (1989). He went on to achieve recognition as a child actor with roles in Avalon (1990), Paradise (1991), Radio Flyer (1992), Forever Young (1992), The Adventures of Huck Finn (1993), and The Good Son (1993). As a teenager, he starred in films such as North (1994), The War (1994), Flipper (1996), The Ice Storm (1997), Deep Impact (1998), and The Faculty (1998). Following the success of The Lord of the Rings, Wood has appeared in a wide range of films, including Spy Kids 3D: Game Over (2003), Eternal Sunshine of the Spotless Mind (2004), Sin City (2005), Green Street Hooligans (2005), Everything Is Illuminated (2005), Paris, je t'aime (2006), Bobby (2006), Celeste and Jesse Forever (2012), Maniac (2012), Grand Piano, Cooties, The Last Witch Hunter (2015), The Trust (2016), I Don't Feel at Home in This World Anymore (2017), and Come to Daddy (2019).

Wood's voice roles include Mumble in Happy Feet (2006) and its sequel (2011), the title character in 9 (2009), Spyro the Dragon in the Legend of Spyro video game trilogy (2006–2008), Beck on Disney XD's Tron: Uprising (2012–2013), and Wirt in the Cartoon Network miniseries Over the Garden Wall (2014). He also played Ryan Newman on the FX dark comedy series Wilfred (2011–2014), for which he received a Satellite Award nomination for Best Actor, and Todd Brotzman in the BBC America series Dirk Gently's Holistic Detective Agency (2016–2017).",1981-01-28,,2,,109,nm0000704,Acting,Elijah Wood,"Cedar Rapids, Iowa, USA",19.867,/7UKRbJBNG7mxBl2QQc5XsAh6F8B.jpg
False,"['奥兰多·布鲁姆', 'ออร์แลนโด บลูม', 'Орландо Блум', 'オーランド・ブルーム', 'أورلاندو بلوم', '올랜도 블룸', 'Orlando Jonathan Blanchard Bloom', 'Ορλάντο Μπλουμ']","Orlando Jonathan Blanchard Copeland Bloom (born 13 January 1977) is an English actor. He made his breakthrough as the character Legolas in The Lord of the Rings film series, a role he reprised in The Hobbit film series. He gained further notice appearing in epic fantasy, historical, and adventure films, notably as Will Turner in the Pirates of the Caribbean film series.

Bloom appeared in Hollywood films such as Paris in Troy (2004) and Balian de Ibelin in Kingdom of Heaven (2005). He stars in the Amazon Prime Video series Carnival Row (2019–present).

He made his professional stage debut in In Celebration at the Duke of York's Theatre in the West End in 2007 and starred in a Broadway adaption of Romeo and Juliet in 2013. In 2009, Bloom was named a UNICEF Goodwill Ambassador. In 2015 he received the BAFTA Britannia Humanitarian Award.",1977-01-13,,2,,114,nm0089217,Acting,Orlando Bloom,"Canterbury, Kent, England, UK",28.963,/lwQoA0qJTCZ6l2FH6PjmhRQjiaB.jpg
False,"['Keira Christina Knightley', 'Кира Найтли', 'เคียรา ไนต์ลีย์', '姬拉·麗莉', 'キーラ・ナイトレイ', '키이라 나이틀리', 'كيرا نايتلي', 'Кіра Найтлі', 'Κίρα Νάιτλι', '凯拉 奈特莉']","Keira Christina Knightley (born 26 March 1985) is an English actress. She has starred in both independent films and big-budget blockbusters, and is particularly noted for her roles in period dramas. Her accolades include two Empire Awards and nominations for two Academy Awards, three British Academy Film Awards, three Golden Globe Awards, one Screen Actors Guild Award and one Laurence Olivier Award. Knightley was appointed an OBE in the 2018 Birthday Honours for services to drama and charity.

Born in London to actors Will Knightley and Sharman Macdonald, Knightley obtained an agent at age six, and initially worked commercials and television films. She appeared as Sabé, Padmé Amidala's handmaiden, in science fiction blockbuster Star Wars: Episode I – The Phantom Menace (1999). Knightley had a break-through role portraying a tomboy footballer in the sports film Bend It Like Beckham (2002). She achieved global stardom with her portrayal of Elizabeth Swann in fantasy swashbuckler series Pirates of the Caribbean. In the same year, she appeared in the Christmas romantic comedy Love Actually (2003) and was labelled a promising teen star.

For her portrayal of Elizabeth Bennet in the period romance Pride & Prejudice (2005), Knightley was nominated for the Academy Award for Best Actress. At age 20, she became the third-youngest Best Actress nominee at the time. Knightley starred in a series of further period pieces, portraying a complex love interest in Atonement (2007), tastemaker Georgiana Cavendish in The Duchess (2008), and the titular socialite in Anna Karenina (2012). She then forayed into contemporary dramas, appearing as an aspiring musician in Begin Again (2013) and a medical student in Jack Ryan: Shadow Recruit (2014). Knightley returned to historical films by playing cryptoanalyst Joan Clarke in The Imitation Game (2014), earning her a second round of Academy Award and BAFTA nominations, and starred as the eponymous belle époque writer in Colette (2018) to critical acclaim.

On stage, Knightley has appeared in two West End productions: The Misanthrope in 2009, which earned her an Olivier Award nomination, and The Children's Hour in 2011. She also starred as the eponymous heroine in the 2015 Broadway production of Thérèse Raquin. Knightley is known for her outspoken stance on social issues, and has worked extensively with Amnesty International, Oxfam, and Comic Relief. She is married to musician James Righton, with whom she has two daughters.",1985-03-26,,1,,116,nm0461136,Acting,Keira Knightley,"Teddington, London, England, UK",23.619,/8OpsaapXmwpLQqHvN5iwoIElERY.jpg
